,Shares,Value,URL,Text,Insider,Position,Transaction,Start Date,Ownership,Ticker
18,242600,4892465.0,,Sale at price 20.17 per share.,Wang (Xing),Director (Non-Executive),,2023-09-12,D,2015.HK
0,35524,416167.0,,Sale at price 11.72 per share.,Bi (Mingwei CPA),Chief Financial Officer,,2024-05-06,D,2020.HK
1,84000,,,,Bi (Mingwei CPA),Chief Financial Officer,,2024-05-01,D,2020.HK
2,280000,,,,Lai (Shixian),Co-Chief Executive Officer,,2024-05-01,D,2020.HK
3,150000,1291620.0,,Acquisition at price 8.61 per share.,Zheng (Jie),Director (Executive),,2024-01-24,D,2020.HK
4,20000,,,,Yiu (Kin Wah),Independent Non-Executive Director,,2024-01-12,D,2020.HK
5,13946,165723.0,,Sale at price 11.88 per share.,Bi (Mingwei CPA),Chief Financial Officer,,2023-05-04,D,2020.HK
6,36000,,,,Bi (Mingwei CPA),Chief Financial Officer,,2023-05-01,D,2020.HK
7,120000,,,,Lai (Shixian),Co-Chief Executive Officer,,2023-05-01,D,2020.HK
0,91490,172778.0,,Sale at price 1.89 per share.,Zhou (Weichang),Chief Technology Officer,,2024-11-20,D,2269.HK
1,297258,561371.0,,Sale at price 1.89 per share.,Chen (Zhisheng),Chief Executive Officer,,2024-11-20,D,2269.HK
2,235759,,,,Chen (Zhisheng),Chief Executive Officer,,2024-11-12,D,2269.HK
3,70727,,,,Zhou (Weichang),Chief Technology Officer,,2024-11-12,D,2269.HK
4,1445000,2141923.0,,Acquisition at price 1.48 per share.,Li (Ge),Chairman of the Board,,2024-06-24,D,2269.HK
5,1000000,1490700.0,,Acquisition at price 1.49 per share.,Li (Ge),Chairman of the Board,,2024-06-21,D,2269.HK
6,200000,305380.0,,Acquisition at price 1.53 per share.,Li (Ge),Chairman of the Board,,2024-06-20,D,2269.HK
7,52735,,,,Zhou (Weichang),Chief Technology Officer,,2024-06-17,D,2269.HK
8,189040,,,,Chen (Zhisheng),Chief Executive Officer,,2024-06-17,D,2269.HK
9,580209,850818.0,,Sale at price 1.47 per share.,Chen (Zhisheng),Chief Executive Officer,,2024-06-12,D,2269.HK
10,95919,140655.0,,Sale at price 1.47 per share.,Zhou (Weichang),Chief Technology Officer,,2024-06-12,D,2269.HK
11,90056,,,,Zhou (Weichang),Chief Technology Officer,,2024-06-11,D,2269.HK
12,264866,,,,Chen (Zhisheng),Chief Executive Officer,,2024-06-11,D,2269.HK
13,1183800,,,,Chen (Zhisheng),Chief Executive Officer,,2024-06-05,D,2269.HK
14,189408,,,,Zhou (Weichang),Chief Technology Officer,,2024-06-05,D,2269.HK
15,831000,1473778.0,,Acquisition at price 1.77 per share.,Li (Ge),Chairman of the Board,,2024-03-28,D,2269.HK
16,5235500,19228420.0,,Acquisition at price 3.67 per share.,Li (Ge),Chairman of the Board,,2024-01-24,D,2269.HK
17,25700,99695.0,,Acquisition at price 3.88 per share.,Tai (Jackson Peter),Independent Non-Executive Director,,2024-01-17,D,2269.HK
18,100000,387370.0,,Acquisition at price 3.87 per share.,Hitchner III (Kenneth Walton),Independent Non-Executive Director,,2024-01-17,D,2269.HK
19,120118,775529.0,,Sale at price 6.46 per share.,Chen (Zhisheng),Chief Executive Officer,,2023-11-17,D,2269.HK
20,36041,232695.0,,Sale at price 6.46 per share.,Zhou (Weichang),Chief Technology Officer,,2023-11-17,D,2269.HK
21,70727,,,,Zhou (Weichang),Chief Technology Officer,,2023-11-13,D,2269.HK
22,1500000,9766800.0,,Sale at price 6.51 per share.,Zhou (Weichang),Chief Technology Officer,,2023-11-10,D,2269.HK
23,500000,3157100.0,,Sale at price 6.31 per share.,Zhou (Weichang),Chief Technology Officer,,2023-11-09,D,2269.HK
24,1500000,248100.0,,Conversion at price 0.17 per share.,Zhou (Weichang),Chief Technology Officer,,2023-11-08,D,2269.HK
25,500000,82700.0,,Conversion at price 0.17 per share.,Zhou (Weichang),Chief Technology Officer,,2023-11-07,D,2269.HK
26,33214,162343.0,,Sale at price 4.89 per share.,Zhou (Weichang),Chief Technology Officer,,2023-07-13,D,2269.HK
27,119035,581819.0,,Sale at price 4.89 per share.,Chen (Zhisheng),Chief Executive Officer,,2023-07-13,D,2269.HK
28,189040,,,,Chen (Zhisheng),Chief Executive Officer,,2023-06-16,D,2269.HK
29,12,68.0,,Sale at price 5.70 per share.,Hitchner III (Kenneth Walton),Independent Non-Executive Director,,2023-06-16,D,2269.HK
30,12,68.0,,Sale at price 5.70 per share.,Keller (William Robert),Independent Non-Executive Director,,2023-06-16,D,2269.HK
31,52735,,,,Zhou (Weichang),Chief Technology Officer,,2023-06-16,D,2269.HK
32,8291,,,,Hitchner III (Kenneth Walton),Independent Non-Executive Director,,2023-06-12,D,2269.HK
33,4145,,,,Keller (William Robert),Independent Non-Executive Director,,2023-06-12,D,2269.HK
34,292407,1658181.0,,Sale at price 5.67 per share.,Chen (Zhisheng),Chief Executive Officer,,2023-06-09,D,2269.HK
35,42486,240929.0,,Sale at price 5.67 per share.,Zhou (Weichang),Chief Technology Officer,,2023-06-09,D,2269.HK
36,94704,,,,Zhou (Weichang),Chief Technology Officer,,2023-06-05,D,2269.HK
37,591900,,,,Chen (Zhisheng),Chief Executive Officer,,2023-06-05,D,2269.HK
0,126410,,,,Gao (Fei),Chief Executive Officer,,2025-04-01,D,2319.HK
1,438053,,,,Gao (Fei),Chief Executive Officer,,2024-05-13,D,2319.HK
2,1372322,,,,Lu (Minfang),Vice Chairman,,2024-05-13,D,2319.HK
3,126410,,,,Gao (Fei),Chief Executive Officer,,2024-04-02,D,2319.HK
4,900,,,,Zhang (Ping),Director (Executive),,2023-11-22,D,2319.HK
5,900,2880.0,,Sale at price 3.20 per share.,Zhang (Ping),Director (Executive),,2023-11-22,D,2319.HK
6,1857000,,,,Zhang (Ping),Director (Executive),,2023-11-21,D,2319.HK
7,1857000,6145555.0,,Sale at price 3.31 per share.,Zhang (Ping),Director (Executive),,2023-11-21,D,2319.HK
8,50000,,,,Lu (Minfang),Chief Executive Officer,,2023-11-06,D,2319.HK
9,70000,246134.0,,Sale at price 3.52 per share.,Lu (Minfang),Chief Executive Officer,,2023-11-06,D,2319.HK
10,495000,1665774.0,,Sale at price 3.37 per share.,Lu (Minfang),Chief Executive Officer,,2023-11-03,D,2319.HK
11,50000,166400.0,,Sale at price 3.33 per share.,Lu (Minfang),Chief Executive Officer,,2023-11-02,D,2319.HK
12,10000,33233.0,,Sale at price 3.32 per share.,Lu (Minfang),Chief Executive Officer,,2023-11-01,D,2319.HK
13,10000,33615.0,,Sale at price 3.36 per share.,Lu (Minfang),Chief Executive Officer,,2023-10-31,D,2319.HK
14,30000,103530.0,,Sale at price 3.45 per share.,Lu (Minfang),Chief Executive Officer,,2023-10-12,D,2319.HK
15,5000,16602.0,,Sale at price 3.32 per share.,Lu (Minfang),Chief Executive Officer,,2023-10-05,D,2319.HK
16,9000,32201.0,,Sale at price 3.58 per share.,Lu (Minfang),Chief Executive Officer,,2023-09-13,D,2319.HK
17,5000,17887.0,,Sale at price 3.58 per share.,Lu (Minfang),Chief Executive Officer,,2023-09-12,D,2319.HK
18,64360,,,,Lu (Minfang),Chief Executive Officer,,2023-05-11,D,2319.HK
19,24805,,,,Zhang (Ping),Director (Executive),,2023-05-11,D,2319.HK
20,690199,,,,Lu (Minfang),Chief Executive Officer,,2023-05-05,D,2319.HK
0,8668,,,,Chan (Chung Bun Bunny),Independent Non-Executive Director,,2025-04-01,D,2331.HK
1,8668,,,,Koo (Fook Sun Louis),Independent Non-Executive Director,,2025-04-01,D,2331.HK
2,8668,,,,Wang (Ya Fei Jane),Independent Non-Executive Director,,2025-04-01,D,2331.HK
3,370650,,,,Kosaka (Takeshi),Director (Executive),,2024-09-02,D,2331.HK
4,8666,,,,Chan (Chung Bun Bunny),Independent Non-Executive Director,,2024-04-01,D,2331.HK
5,8666,,,,Koo (Fook Sun Louis),Independent Non-Executive Director,,2024-04-01,D,2331.HK
6,217170,,,,Li (Ning),Chief Executive Officer,,2024-04-01,D,2331.HK
7,28965,,,,Li (Qilin),Director (Executive),,2024-04-01,D,2331.HK
8,8666,,,,Wang (Ya Fei Jane),Independent Non-Executive Director,,2024-04-01,D,2331.HK
9,100000,168750.0,,Conversion at price 1.69 per share.,Wang (Ya Fei Jane),Independent Non-Executive Director,,2023-12-19,D,2331.HK
10,247100,,,,Kosaka (Takeshi),Director (Executive),,2023-09-01,D,2331.HK
0,45222,394855.0,,Sale at price 8.73 per share.,Zhang (Zhaohui),Director (Executive),,2025-03-28,D,2359.HK
1,76899,574989.0,,Other at price 7.48 per share.,Chen (Minzhang),Co-Chief Executive Officer,,2024-12-13,D,2359.HK
2,47462,354882.0,,Other at price 7.48 per share.,Hu (Edward),Director (Executive),,2024-12-13,D,2359.HK
3,3075,22992.0,,Other at price 7.48 per share.,Shi (Ming),Chief Financial Officer,,2024-12-13,D,2359.HK
4,50391,376783.0,,Other at price 7.48 per share.,Yang (Steve Qing),Co-Chief Executive Officer,,2024-12-13,D,2359.HK
5,10647,80090.0,,Other at price 7.52 per share.,Chen (Minzhang),Co-Chief Executive Officer,,2024-12-12,D,2359.HK
6,15967,120110.0,,Other at price 7.52 per share.,Hu (Edward),Director (Executive),,2024-12-12,D,2359.HK
7,15967,120110.0,,Other at price 7.52 per share.,Yang (Steve Qing),Co-Chief Executive Officer,,2024-12-12,D,2359.HK
8,24926,146534.0,,Other at price 5.88 per share.,Chen (Minzhang),Co-Chief Executive Officer,,2024-12-03,D,2359.HK
9,17640,103702.0,,Other at price 5.88 per share.,Hu (Edward),Director (Executive),,2024-12-03,D,2359.HK
10,18855,110844.0,,Conversion at price 5.88 per share.,Yang (Steve Qing),Co-Chief Executive Officer,,2024-12-03,D,2359.HK
11,87546,,,,Chen (Minzhang),Co-Chief Executive Officer,,2024-12-02,D,2359.HK
12,63429,,,,Hu (Edward),Director (Executive),,2024-12-02,D,2359.HK
13,131856,,,,Li (Ge),Chief Executive Officer,,2024-12-02,D,2359.HK
14,11747,,,,Shi (Ming),Chief Financial Officer,,2024-12-02,D,2359.HK
15,66358,,,,Yang (Steve Qing),Co-Chief Executive Officer,,2024-12-02,D,2359.HK
16,32078,,,,Zhang (Zhaohui),Director (Executive),,2024-12-02,D,2359.HK
17,56399,325089.0,,Sale at price 5.76 per share.,Yang (Steve Qing),Co-Chief Executive Officer,,2024-11-27,D,2359.HK
18,24926,,,,Chen (Minzhang),Co-Chief Executive Officer,,2024-11-25,D,2359.HK
19,17640,,,,Hu (Edward),Director (Executive),,2024-11-25,D,2359.HK
20,39432,,,,Li (Ge),Chief Executive Officer,,2024-11-25,D,2359.HK
21,18855,,,,Yang (Steve Qing),Co-Chief Executive Officer,,2024-11-25,D,2359.HK
22,13144,,,,Zhang (Zhaohui),Director (Executive),,2024-11-25,D,2359.HK
23,81069,520284.0,,Sale at price 6.42 per share.,Hu (Edward),Director (Executive),,2024-11-21,D,2359.HK
24,598,,,,Shi (Ming),Chief Financial Officer,,2024-04-18,D,2359.HK
25,4891,,,,Shi (Ming),Chief Financial Officer,,2024-04-01,D,2359.HK
26,76899,790713.0,,Other at price 10.28 per share.,Chen (Minzhang),Vice President,,2023-12-18,D,2359.HK
27,5067,52101.0,,Other at price 10.28 per share.,Shi (Ming),Chief Financial Officer,,2023-12-18,D,2359.HK
28,27139,279056.0,,Other at price 10.28 per share.,Yang (Steve Qing),Co-Chief Executive Officer,,2023-12-18,D,2359.HK
29,24980,256856.0,,Other at price 10.28 per share.,Zhang (Zhaohui),Director (Executive),,2023-12-18,D,2359.HK
30,10644,109416.0,,Other at price 10.28 per share.,Chen (Minzhang),Vice President,,2023-12-13,D,2359.HK
31,15967,164134.0,,Other at price 10.28 per share.,Hu (Edward),Director (Executive),,2023-12-13,D,2359.HK
32,8477,87140.0,,Other at price 10.28 per share.,Yang (Steve Qing),Co-Chief Executive Officer,,2023-12-13,D,2359.HK
33,7096,72944.0,,Other at price 10.28 per share.,Zhang (Zhaohui),Director (Executive),,2023-12-13,D,2359.HK
34,3137,32549.0,,Other at price 10.38 per share.,Hu (Edward),Director (Executive),,2023-12-11,D,2359.HK
35,17445,180670.0,,Sale at price 10.36 per share.,Zhang (Zhaohui),Director (Executive),,2023-12-07,D,2359.HK
36,35570,417997.0,,Other at price 11.75 per share.,Chen (Minzhang),Vice President,,2023-12-05,D,2359.HK
37,87543,,,,Chen (Minzhang),Vice President,,2023-12-04,D,2359.HK
38,24926,293331.0,,Other at price 11.77 per share.,Chen (Minzhang),Vice President,,2023-12-04,D,2359.HK
39,66566,,,,Hu (Edward),Director (Executive),,2023-12-04,D,2359.HK
40,19689,231702.0,,Other at price 11.77 per share.,Hu (Edward),Director (Executive),,2023-12-04,D,2359.HK
41,131854,,,,Li (Ge),Chief Executive Officer,,2023-12-04,D,2359.HK
42,11747,,,,Shi (Ming),Chief Financial Officer,,2023-12-04,D,2359.HK
43,66358,,,,Yang (Steve Qing),Co-Chief Executive Officer,,2023-12-04,D,2359.HK
44,9888,116362.0,,Other at price 11.77 per share.,Yang (Steve Qing),Co-Chief Executive Officer,,2023-12-04,D,2359.HK
45,32076,,,,Zhang (Zhaohui),Director (Executive),,2023-12-04,D,2359.HK
46,13144,154679.0,,Other at price 11.77 per share.,Zhang (Zhaohui),Director (Executive),,2023-12-04,D,2359.HK
47,24926,,,,Chen (Minzhang),Vice President,,2023-11-23,D,2359.HK
48,19689,,,,Hu (Edward),Director (Executive),,2023-11-23,D,2359.HK
49,39432,,,,Li (Ge),Chief Executive Officer,,2023-11-23,D,2359.HK
50,18855,,,,Yang (Steve Qing),Co-Chief Executive Officer,,2023-11-23,D,2359.HK
51,13144,,,,Zhang (Zhaohui),Director (Executive),,2023-11-23,D,2359.HK
52,900,9229.0,,Other at price 10.26 per share.,Shi (Ming),Chief Financial Officer,,2023-04-12,D,2359.HK
0,2143,,,,Yang (Mun Tak Marjorie),Independent Non-Executive Director,,2025-03-31,D,3690.HK
1,1734,,,,Orr (Gordon Robert Halyburton),Independent Non-Executive Director,,2025-03-20,D,3690.HK
2,1734,,,,Shum (Heung Yeung),Independent Non-Executive Director,,2025-03-20,D,3690.HK
3,1734,,,,Leng (Xuesong),Independent Non-Executive Director,,2025-03-20,D,3690.HK
4,2143,,,,Yang (Mun Tak Marjorie),Independent Non-Executive Director,,2024-12-31,D,3690.HK
5,3765146,,,,Mu (Rongjun),Director (Executive),,2024-12-20,D,3690.HK
6,1734,,,,Orr (Gordon Robert Halyburton),Independent Non-Executive Director,,2024-12-20,D,3690.HK
7,1734,,,,Shum (Heung Yeung),Independent Non-Executive Director,,2024-12-20,D,3690.HK
8,1734,,,,Leng (Xuesong),Independent Non-Executive Director,,2024-12-20,D,3690.HK
9,500000,,,,Mu (Rongjun),Director (Executive),,2024-09-30,D,3690.HK
10,2000000,45466800.0,,Sale at price 22.73 per share.,Mu (Rongjun),Director (Executive),,2024-09-30,D,3690.HK
11,2143,,,,Yang (Mun Tak Marjorie),Independent Non-Executive Director,,2024-09-30,D,3690.HK
12,3230,62736.0,,Sale at price 19.42 per share.,Leng (Xuesong),Independent Non-Executive Director,,2024-09-26,D,3690.HK
13,1616,,,,Orr (Gordon Robert Halyburton),Independent Non-Executive Director,,2024-09-20,D,3690.HK
14,1616,,,,Shum (Heung Yeung),Independent Non-Executive Director,,2024-09-20,D,3690.HK
15,13386623,,,,Mu (Rongjun),Director (Executive),,2024-08-30,D,3690.HK
16,25500,364655.0,,Sale at price 14.30 per share.,Wang (Xing),Chief Executive Officer,,2024-08-29,D,3690.HK
17,2143,,,,Yang (Mun Tak Marjorie),Independent Non-Executive Director,,2024-06-30,D,3690.HK
18,1614,,,,Orr (Gordon Robert Halyburton),Independent Non-Executive Director,,2024-06-20,D,3690.HK
19,1614,,,,Shum (Heung Yeung),Independent Non-Executive Director,,2024-06-20,D,3690.HK
20,1614,,,,Leng (Xuesong),Independent Non-Executive Director,,2024-06-20,D,3690.HK
21,3680072,,,,Mu (Rongjun),Director (Executive),,2024-06-17,D,3690.HK
22,43484,644898.0,,Sale at price 14.83 per share.,Leng (Xuesong),Independent Non-Executive Chairman,,2024-06-13,D,3690.HK
23,1000000,14065000.0,,Sale at price 14.06 per share.,Mu (Rongjun),Director (Executive),,2024-04-30,D,3690.HK
24,1000000,14782500.0,,Sale at price 14.78 per share.,Mu (Rongjun),Director (Executive),,2024-04-26,D,3690.HK
25,2143,,,,Yang (Mun Tak Marjorie),Independent Non-Executive Director,,2024-03-31,D,3690.HK
26,1614,,,,Orr (Gordon Robert Halyburton),Independent Non-Executive Director,,2024-03-20,D,3690.HK
27,1614,,,,Shum (Heung Yeung),Independent Non-Executive Director,,2024-03-20,D,3690.HK
28,1614,,,,Leng (Xuesong),Independent Non-Executive Director,,2024-03-20,D,3690.HK
29,4248771,,,,Mu (Rongjun),Director (Executive),,2024-02-20,D,3690.HK
30,2143,,,,Yang (Mun Tak Marjorie),Independent Non-Executive Director,,2023-12-31,D,3690.HK
31,1614,,,,Orr (Gordon Robert Halyburton),Independent Non-Executive Director,,2023-12-20,D,3690.HK
32,1614,,,,Shum (Heung Yeung),Independent Non-Executive Director,,2023-12-20,D,3690.HK
33,1614,,,,Leng (Xuesong),Independent Non-Executive Director,,2023-12-20,D,3690.HK
34,2143,,,,Yang (Mun Tak Marjorie),Independent Non-Executive Director,,2023-09-30,D,3690.HK
35,1000000,14207000.0,,Sale at price 14.21 per share.,Mu (Rongjun),Director (Executive),,2023-09-28,D,3690.HK
36,1000000,14706000.0,,Sale at price 14.71 per share.,Mu (Rongjun),Director (Executive),,2023-09-27,D,3690.HK
37,24000,360134.0,,Sale at price 15.01 per share.,Wang (Xing),Chief Executive Officer,,2023-09-26,D,3690.HK
38,1614,,,,Orr (Gordon Robert Halyburton),Independent Non-Executive Director,,2023-09-20,D,3690.HK
39,1614,,,,Shum (Heung Yeung),Independent Non-Executive Director,,2023-09-20,D,3690.HK
40,1614,,,,Leng (Xuesong),Independent Non-Executive Director,,2023-09-20,D,3690.HK
41,24586,,,,Leng (Xuesong),Independent Non-Executive Director,,2023-06-20,D,3690.HK
42,1614,,,,Orr (Gordon Robert Halyburton),Independent Non-Executive Director,,2023-06-20,D,3690.HK
43,1614,,,,Shum (Heung Yeung),Independent Non-Executive Director,,2023-06-20,D,3690.HK
44,18000000,,,,Wang (Huiwen),Director (Non-Executive),,2023-05-29,D,3690.HK
0,40800,,,,Lyu (Aifeng),Director (Executive),,2024-05-15,D,3692.HK
1,82500,,,,Lyu (Aifeng),Director (Executive),,2024-05-15,D,3692.HK
2,102000,,,,Lyu (Aifeng),Director (Executive),,2024-04-29,D,3692.HK
3,206250,,,,Lyu (Aifeng),Director (Executive),,2024-04-29,D,3692.HK
4,442000,,,,Sun (Yuan),Director (Executive),,2024-04-29,D,3692.HK
5,396100,,,,Sun (Yuan),Director (Executive),,2024-04-29,D,3692.HK
6,90000,,,,Lyu (Aifeng),Director (Executive),,2023-06-15,D,3692.HK
7,400500,,,,Lyu (Aifeng),Director (Executive),,2023-04-29,D,3692.HK
8,408100,,,,Sun (Yuan),Director (Executive),,2023-04-29,D,3692.HK
0,104835,,,,Jin (Enlin CPA),Chief Executive Officer,,2025-04-01,D,6618.HK
1,42276,,,,Jin (Enlin CPA),Chief Executive Officer,,2025-04-01,D,6618.HK
2,2777,,,,Zhang (Jiyu),Independent Non-Executive Director,,2025-03-31,D,6618.HK
3,9224,,,,Zhang (Jiyu),Independent Non-Executive Director,,2025-03-30,D,6618.HK
4,9853,,,,Jin (Enlin CPA),Chief Executive Officer,,2025-01-01,D,6618.HK
5,20000,79746.0,,Sale at price 3.99 per share.,Jin (Enlin CPA),Chief Executive Officer,,2024-12-12,D,6618.HK
6,20000,79746.0,,Sale at price 3.99 per share.,Jin (Enlin CPA),Chief Executive Officer,,2024-12-11,D,6618.HK
7,7165,,,,Chen (Xingyao),Independent Non-Executive Director,,2024-11-27,D,6618.HK
8,7165,,,,Li (Ling),Independent Non-Executive Director,,2024-11-27,D,6618.HK
9,8840419,,,,Liu (Qiangdong Richard),Chairman of the Board,,2024-10-15,D,6618.HK
10,4934,,,,Jin (Enlin CPA),Chief Executive Officer,,2024-10-01,D,6618.HK
11,8185,21966.0,,Sale at price 2.68 per share.,Jin (Enlin CPA),Chief Executive Officer,,2024-07-02,D,6618.HK
12,20000,,,,Jin (Enlin CPA),Chief Executive Officer,,2024-07-01,D,6618.HK
13,1916,6262.0,,Sale at price 3.27 per share.,Wu (Ying),Independent Non-Executive Director,,2024-04-08,D,6618.HK
14,6823,,,,Wu (Ying),Independent Non-Executive Director,,2024-04-07,D,6618.HK
15,15846,53947.0,,Sale at price 3.40 per share.,Jin (Enlin CPA),Chief Executive Officer,,2024-04-03,D,6618.HK
16,596,2170.0,,Sale at price 3.64 per share.,Zhang (Jiyu),Independent Non-Executive Director,,2024-04-02,D,6618.HK
17,52130,,,,Jin (Enlin CPA),Chief Executive Officer,,2024-04-01,D,6618.HK
18,48333,,,,Jin (Enlin CPA),Chief Executive Officer,,2024-04-01,D,6618.HK
19,2697,,,,Zhang (Jiyu),Independent Non-Executive Director,,2024-03-29,D,6618.HK
20,9853,,,,Jin (Enlin CPA),Chief Executive Officer,,2024-01-01,D,6618.HK
21,681,3487.0,,Sale at price 5.12 per share.,Chen (Xingyao),Independent Non-Executive Director,,2023-11-27,D,6618.HK
22,681,3487.0,,Sale at price 5.12 per share.,Li (Ling),Independent Non-Executive Director,,2023-11-27,D,6618.HK
23,2697,,,,Chen (Xingyao),Independent Non-Executive Director,,2023-11-26,D,6618.HK
24,2697,,,,Li (Ling),Independent Non-Executive Director,,2023-11-26,D,6618.HK
25,8840419,,,,Liu (Qiangdong Richard),Chairman of the Board,,2023-10-15,D,6618.HK
26,4932,,,,Jin (Enlin CPA),Chief Executive Officer,,2023-10-01,D,6618.HK
27,2086,13850.0,,Sale at price 6.64 per share.,Wu (Ying),Independent Non-Executive Director,,2023-05-17,D,6618.HK
0,36627,,,,Gong (Wei),Chief Financial Officer,,2022-07-26,D,6690.HK
1,59300,,,,Li (Huagang),Chief Executive Officer,,2022-07-26,D,6690.HK
0,2800000,,,,Yang (June Lijuan),Chief Executive Officer,,2024-06-14,D,6862.HK
1,2300000,,,,Yang (June Lijuan),Chief Executive Officer,,2024-06-13,D,6862.HK
2,2800000,,,,Yang (June Lijuan),Chief Executive Officer,,2024-03-14,D,6862.HK
0,14000000,,,,Liu (Qiangdong Richard),Chief Executive Officer,,2021-02-28,D,9618.HK
0,99400,581748.0,,Sale at price 5.85 per share.,Xue (Lian),Director (Non-Executive),,2023-11-16,D,9633.HK
1,1400000,8140440.0,,Sale at price 5.81 per share.,Xue (Lian),Director (Non-Executive),,2023-11-15,D,9633.HK
2,600,3420.0,,Sale at price 5.70 per share.,Xue (Lian),Director (Non-Executive),,2023-11-08,D,9633.HK
0,1206100,,,,Fan (Min),President,,2023-12-31,D,9961.HK
0,676400,,,,Evans (John Michael),President,,2025-04-01,D,9988.HK
1,10672,,,,Tsai (Chung Joseph),Chairman of the Board,,2025-04-01,D,9988.HK
2,54128,,,,Wu (Wei),Director,,2025-04-01,D,9988.HK
3,919744,,,Other at price 0.00 per share.,Tsai (Chung Joseph),Chairman of the Board,,2025-02-21,D,9988.HK
4,320000,,,,Wu (Yongming),Chief Executive Officer,,2024-09-10,D,9988.HK
5,1440000,,,,Tsai (Chung Joseph),Chairman of the Board,,2024-08-28,D,9988.HK
6,6373336,,,,Tsai (Chung Joseph),Chairman of the Board,,2024-05-20,D,9988.HK
